COL001,COL002,COL003,COL004,COL005,COL006,COL007,COL008,COL009,COL010,COL011,COL012,COL013,COL014,COL015,COL016,COL017,COL018,COL019,COL020,COL021,COL022,COL023,COL024,COL025,COL026,COL027,COL028,COL029,COL030,COL031,COL032,COL033,COL034,COL035,COL036,COL037,COL038,COL039,COL040
0.1700741448,0.000241159,0.1366101572,7.45093E-6,0.0001805237,0.0002873747,0.000362287,0.0308022258,0.0359428839,-0.000057813,0.0076204421,0.0086423759,0.0003374632,0.0003278547,8.0320564E-6,0.0005709556,0.0113050917,0.0000131385,0.0112943403,-0.027127988,0.1661190388,0.0082588775,0.0108756821,0.0342235151,0.012549769,0.0002287835,0.0000118214,0.0004023421,0.011194943,0.000270312,0.2007779055,0.0248746839,0.1633014039,0.000341715,0.0005973993,0.0004008795,0.0355999096,0.0003347688,0.0008070165,-0.144975906
0.000241159,0.1249816473,0.0001937083,0.0038614751,0.0935571259,4.0748693E-7,0.1877567218,0.0010000685,0.0011669724,-0.029961649,0.0000108055,0.0000122546,0.1748916998,4.6488611E-7,0.0041626462,8.0959443E-7,0.0000160302,0.0068090598,0.000016015,0.0080032857,0.0002355508,0.0000117108,0.0000154213,0.001111149,0.0000177951,0.1185680014,0.0061264643,5.7050654E-7,0.000015874,0.1400903036,0.0002846958,0.0008076166,0.0002315555,4.8453953E-7,8.4709068E-7,5.6843272E-7,0.0011558369,4.7469013E-7,1.1443204E-6,0.0010868179
0.1366101572,0.0001937083,0.1097305829,5.9848763E-6,0.0001450036,0.0002308305,0.000291003,0.0247415438,0.02887072,-0.000046437,0.006121035,0.0069418919,0.0002710636,0.0002633456,6.4516596E-6,0.0004586137,0.0090806887,0.0000105533,0.0090720527,-0.021790254,0.1334332625,0.0066338511,0.0087357702,0.0274896563,0.0100804618,0.0001837678,9.4953692E-6,0.0003231768,0.008992213,0.0002171251,0.1612726101,0.019980312,0.1311700287,0.0002744787,0.0004798543,0.000322002,0.0285952298,0.0002688993,0.000648227,-0.116450277
7.45093E-6,0.0038614751,5.9848763E-6,0.1138048745,0.0028905725,1.2589853E-8,0.0058009949,0.0000308985,0.0000360552,0.1131915438,3.3385075E-7,3.7862156E-7,0.0054035129,1.4363278E-8,0.1226809491,2.5013502E-8,4.9527486E-7,0.200675695,4.9480384E-7,0.0002472722,7.2776573E-6,3.6182054E-7,4.7646247E-7,0.0000343304,5.4980403E-7,0.0036633169,0.1805583339,1.7626562E-8,4.9044925E-7,0.0043282772,8.7960585E-6,0.0000249524,7.154217E-6,1.4970496E-8,2.6171999E-8,1.7562489E-8,0.0000357111,1.4666186E-8,3.5355308E-8,0.0000335787
0.0001805237,0.0935571259,0.0001450036,0.0028905725,0.0700337689,3.0503123E-7,0.1405484696,0.0007486182,0.0008735569,-0.022428299,8.0886491E-6,9.1733714E-6,0.1309181398,3.4799836E-7,0.0031160192,6.060356E-7,0.0000119997,0.0050970369,0.0000119883,0.0059909949,0.0001763255,8.7663106E-6,0.0000115439,0.0008317693,0.0000133208,0.0887560828,0.0045860685,4.2706232E-7,0.0000118828,0.1048669661,0.0002131139,0.0006045551,0.0001733348,3.6271026E-7,6.3410406E-7,4.2550993E-7,0.0008652213,3.5533733E-7,8.5660037E-7,0.0008135559
0.0002873747,4.0748693E-7,0.0002308305,1.2589853E-8,3.0503123E-7,0.0387057701,6.1215716E-7,0.0000520466,0.0000607328,-9.768618E-8,0.0024811705,0.002813906,5.7021237E-7,0.0441579188,1.3571784E-8,0.0769005673,0.0036808704,2.2200082E-8,0.0036773698,-0.000045838,0.0002806917,-0.031079218,0.0035410572,0.0000578276,0.0040861299,3.8657604E-7,1.9974566E-8,0.0541904377,0.0036450066,4.567468E-7,0.0003392549,0.0000420308,-0.001428901,0.0460247292,0.0804622059,0.0539934525,0.0000601532,0.0450891696,0.1086950235,-0.000244966
0.000362287,0.1877567218,0.000291003,0.0058009949,0.1405484696,6.1215716E-7,0.2820621054,0.0015023773,0.0017531127,-0.045010616,0.0000162328,0.0000184097,0.2627353129,6.9838647E-7,0.0062534365,1.2162329E-6,0.0000240818,0.0102290758,0.0000240589,0.0120231307,0.0003538619,0.0000175928,0.0000231671,0.0016692506,0.0000267332,0.1781216661,0.0092036302,8.5705734E-7,0.0000238471,0.2104540685,0.0004276913,0.0012132617,0.0003478599,7.279113E-7,1.2725626E-6,8.5394189E-7,0.0017363841,7.1311481E-7,1.7190831E-6,0.0016326987
0.0308022258,0.0010000685,0.0247415438,0.0000308985,0.0007486182,0.0000520466,0.0015023773,0.1277345471,0.1490524753,-0.000239745,0.0013801426,0.0015652256,0.001399435,0.0000593779,0.0000333083,0.0001034061,0.0020474716,0.0000544842,0.0020455244,-0.112497756,0.0300859143,0.00149577,0.001969701,0.1419223804,0.0022728959,0.0009487483,0.0000490223,0.0000728684,0.0020275225,0.0011209638,0.0363630015,0.1031534705,0.0295756108,0.0000618882,0.0001081953,0.0000726035,0.1476301864,0.0000606302,0.0001461592,0.1388146813
0.0359428839,0.0011669724,0.02887072,0.0000360552,0.0008735569,0.0000607328,0.0017531127,0.1490524753,0.1739282044,-0.000279756,0.001610478,0.0018264499,0.0016329901,0.0000692877,0.0000388673,0.0001206638,0.0023891791,0.0000635772,0.002386907,-0.13127278,0.0351070254,0.0017454027,0.0022984292,0.1656081506,0.002652225,0.0011070872,0.0000572037,0.0000850296,0.0023659007,0.0013080442,0.0424317109,0.1203690033,0.0345115562,0.0000722169,0.0001262523,0.0000847205,0.1722685461,0.0000707489,0.0001705521,0.1619818001
-0.000057813,-0.029961649,-0.000046437,0.1131915438,-0.022428299,-9.768618E-8,-0.045010616,-0.000239745,-0.000279756,0.1217332257,-2.590388E-6,-2.93777E-6,-0.041926505,-1.114464E-7,0.1220197825,-1.940828E-7,-3.842897E-6,0.1995941898,-3.839242E-6,-0.001918615,-0.000056468,-2.807409E-6,-3.696929E-6,-0.000266374,-4.265995E-6,-0.028424116,0.1795852476,-1.367666E-7,-3.805455E-6,-0.033583622,-0.00006825,-0.000193609,-0.00005551,-1.161579E-7,-2.030717E-7,-1.362695E-7,-0.000277087,-1.137967E-7,-2.743261E-7,-0.000260541
