j,x1,x2,x3,pi
1,1.0195516173,1.5938489371,1.6735563072,0.148966382
2,1.1343207795,1.434644957,1.1048478016,0.1094702775
3,0.8908036403,1.0348258706,1.0731136999,0.0961120101
4,0.7418509267,1.724106739,0.8685122552,0.0996806447
5,0.4121854164,0.7851650837,0.5945968516,0.0613419352
6,0.1556583602,0.2786069652,0.3290325275,0.0339020287
7,1.8770372795,3.0954319313,2.426823667,0.2470556085
8,0.7068865987,1.2519222071,1.1424276588,0.111881517
9,1.3559928065,1.7928539123,1.6426573135,0.1523421174
10,1.0246222044,1.4889190412,1.1232201762,0.1066250147
11,0.3743196059,0.5499773858,0.643033112,0.0576286262
12,0.4765017553,0.7905924921,0.7574428995,0.074121505
13,1.8976818691,2.8331071913,2.2188817905,0.2143591997
14,0.3624523382,0.4142921755,0.4993945467,0.0441256845
15,1.1561113082,1.7982813207,1.2301139922,0.11583595
16,1.5257542288,1.2012663953,1.6393168817,0.1338237973
17,1.1666221453,1.2247851651,1.4297047893,0.1268312025
18,2.5612248779,5.065581185,3.0105641154,0.3099407371
19,1.3008335848,1.2754409769,1.4931729926,0.1265900786
20,0.7954320674,1.0746268657,0.845129233,0.087335098
21,1.5029941707,1.5214834916,1.6234498309,0.1421184615
22,1.0664557455,0.881049299,1.1207148524,0.0935560961
23,1.0844459525,1.250113071,1.380433421,0.1173791433
24,1.1692251025,1.6155585708,1.5190613387,0.1381158038
25,1.5160254579,1.5305291723,1.8564449455,0.1562965503
26,0.9085628278,1.3713251922,1.0405444904,0.0985232497
27,2.0805171087,3.618272275,2.6013612259,0.2509135919
28,0.535136508,0.5753052917,0.7399056328,0.0664537631
29,0.8793706462,1.3134328358,1.4990187482,0.1243717381
30,0.9931490404,1.8561736771,1.3954653639,0.1375371063
31,1.844560741,2.2650384441,2.3174245271,0.2076077288
32,0.7504902896,0.8123021257,0.8133951313,0.07296411
33,1.7948242152,1.7602894618,1.9048812059,0.1646876641
34,0.5044739388,0.3980099502,0.5870808802,0.0479354431
35,1.1834611496,1.3532338308,1.6844127103,0.1465069176
36,0.5202942253,0.5427408412,0.7941876488,0.0659715152
37,1.0707161061,1.736770692,1.7002797612,0.1494486299
38,0.4234815831,0.3184079602,0.5845755564,0.0460064514
39,4.3955806761,2.315694256,3.3755062842,0.2673582459
40,4.8692363747,3.3722297603,3.1759154871,0.3036232894
41,1.6713822926,2.2071460877,2.1512380475,0.2096813949
42,0.6996179834,0.3636363636,0.5887510961,0.0475496447
43,2.853467352,1.5052012664,2.3775522986,0.1877873394
44,6.3668272196,2.5291723202,4.6181468955,0.3466880285
45,2.6077228401,1.5413839891,2.2422648127,0.1817110156
46,3.8326799232,2.512890095,3.1784208109,0.265477479
47,2.3133910575,1.2573496156,2.051025095,0.1583219916
48,2.5529496511,2.0551786522,2.1888179047,0.1947317094
49,2.3147520411,0.9534147445,1.581694434,0.1229249944
50,3.5357812128,2.9669832655,2.7525157627,0.2425224781
51,4.4949546404,3.1099050204,4.5029020001,0.3548862431
52,3.0711711483,1.8525554048,2.8168190739,0.2209659962
53,1.3799707309,1.9231117142,1.8138544407,0.1919828963
54,0.3240672733,0.4161013116,0.5386446198,0.0504431323
55,0.8348445615,1.1922207146,1.1466031985,0.1209477779
56,0.5521948993,0.710990502,0.6647459184,0.0666948871
57,3.0820380156,3.4771596563,2.5896697148,0.2517334134
58,0.8491519041,0.539122569,0.6906342645,0.0594611683
59,4.0637147164,3.5875169607,2.7433295753,0.2794626687
60,2.5704752661,4.1827227499,1.3027683828,0.1906808269
